track len: 1
codec: 0x1005
time: 52.800415, note: 1.4102244
time: 52.860416, note: 1.2923341
time: 52.913834, note: 1.007924
time: 52.965748, note: 1.3924022
time: 53.020416, note: 1.3957326
time: 53.100414, note: 1.495089
time: 53.180416, note: 1.489353
time: 53.240498, note: 0.71130073
time: 53.300415, note: 1.3522965
time: 53.365833, note: 0.6153295
time: 53.440666, note: 0.88393974
time: 53.500416, note: 1.1085911
time: 53.6405, note: 1.1912282
time: 53.700417, note: 1.3178023
time: 53.760498, note: 0.6189402
time: 53.820415, note: 0.9691504
time: 53.880417, note: 1.3604119
time: 53.940414, note: 1.3824418
time: 54.000416, note: 1.0997021
time: 54.06058, note: 0.53313434
time: 54.120415, note: 1.336837
time: 54.1805, note: 1.1601963
time: 54.24058, note: 0.52688926
time: 54.300415, note: 1.4911959
time: 54.360416, note: 1.2814031
time: 54.420498, note: 0.5350611
time: 54.480415, note: 0.84640056
time: 54.540333, note: 1.4933087
time: 54.59925, note: 1.297172
time: 54.660416, note: 1.053846
time: 54.720417, note: 0.96321183
time: 54.820415, note: 1.4710798
time: 54.88058, note: 0.9010596
time: 55.7805, note: 0.6596546
time: 55.840416, note: 0.6658766
time: 55.900417, note: 1.4757005
time: 55.960415, note: 0.645905
time: 56.020416, note: 1.2364638
time: 56.080498, note: 0.57875544
time: 56.140415, note: 1.4624023
time: 56.205833, note: 1.0651433
time: 56.260498, note: 1.3476005
time: 56.3205, note: 0.66756606
time: 56.3805, note: 0.6671804
time: 56.440414, note: 1.2128817
time: 56.500416, note: 1.296119
time: 56.5605, note: 0.8058517
time: 56.6205, note: 0.5347868
time: 56.74058, note: 0.74279547
time: 56.8005, note: 0.6168561
time: 56.860416, note: 1.3434218
time: 56.920498, note: 1.0319508
time: 56.980415, note: 1.4667921
time: 57.034664, note: 0.8755903
time: 57.085915, note: 0.6898592
time: 57.200832, note: 0.7776809
time: 57.260418, note: 1.4317756
time: 57.316082, note: 1.2896019
time: 57.380417, note: 1.2542129
time: 57.4405, note: 0.660962
time: 57.5005, note: 0.5504713
time: 57.5605, note: 0.5103616
time: 57.680584, note: 0.64578635
time: 57.740417, note: 1.2710619
time: 57.800415, note: 1.264885
time: 57.8605, note: 0.7902036
time: 57.920498, note: 0.6988403
time: 57.980415, note: 1.105864
time: 58.0405, note: 0.77820194
time: 58.1605, note: 1.0081671
time: 58.220417, note: 1.0935678
time: 58.280415, note: 1.3813186
time: 58.340416, note: 1.2556041
time: 58.4005, note: 0.7393797
time: 58.460415, note: 1.1968899
time: 58.520416, note: 1.28831
time: 58.6405, note: 1.1558952
time: 58.700417, note: 1.2076064
time: 58.760498, note: 0.58212024
time: 58.820415, note: 0.818113
time: 58.880417, note: 1.3960896
time: 58.940414, note: 1.3357958
time: 59.0005, note: 0.9512726
time: 59.160416, note: 1.1099699
time: 59.220417, note: 1.2226944
